work_key,venue,year,title,n_authors,type,reason,decided_by,decided_on
doi:10.1126/scirobotics.aat3911,scirobotics,2018,<i>Pacific Rim</i> and exoskeletons,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aat8447,scirobotics,2018,<i>Westworld</i> and the uncanny valley,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aat1599,scirobotics,2018,Astromech robots in <i>Star Wars</i>,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aau1827,scirobotics,2018,"Meet L3-37, an elite self-modifying robot in <i>Solo: A Star Wars Movie</i>",1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aav6015,scirobotics,2018,Smart houses and domotics,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aav3246,scirobotics,2018,The 50th anniversary of <i>2001: A Space Odyssey</i>,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aax7421,scirobotics,2019,Computer vision and machine learning in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aaz8586,scirobotics,2019,Explainable robotics in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aaw5283,scirobotics,2019,Robot learning in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aaw8387,scirobotics,2019,The real <i>Alita: Battle Angel</i> cyborgs,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.aax1737,scirobotics,2020,Autonomous cars in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abd2616,scirobotics,2020,Roboticists should never look at their creations in the same way again,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abb9590,scirobotics,2020,Robots and pandemics in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abg8858,scirobotics,2021,<i>R.U.R.</i> versus <i>Q.U.R.</i>,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abj9789,scirobotics,2021,"By the time we build robots that care for us, will we be able to care for them?",1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abh3165,scirobotics,2021,Planetary rovers in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abn0877,scirobotics,2021,"Robot intelligence and applications are as varied as animal intelligence, so why not treat them the same way?",1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abi9220,scirobotics,2021,Robot mothers in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abi9227,scirobotics,2021,Robots have grasped and manipulated the imagination since 1839,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abj4344,scirobotics,2021,"Robots, science fiction, and nuclear accidents",1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abk0451,scirobotics,2021,Swarm robots in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adf9309,scirobotics,2022,Bot self-destruction memes are no laughing matter in science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abp8431,scirobotics,2022,Co-bots get the good jobs while workers get a human-robot interaction nightmare,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adf5989,scirobotics,2022,Do robots reflect their creators?,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.ade5835,scirobotics,2022,Is it safe to hug a robot like Baymax?,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.add7573,scirobotics,2022,Robot therapy pets get a starring role in <i>Lightyear</i> and in real life,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.abq3893,scirobotics,2022,The droids in <i>The Mandalorian</i> and <i>The Book of Boba Fett</i> are not wild enough for the real world,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adf0342,scirobotics,2022,"The original “I, Robot” featured a murderous robot and the Frankenstein complex",1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.ade0862,scirobotics,2022,Would you trust an intelligent robot?,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adg3178,scirobotics,2023,A retrospective of Isaac Asimov at 102 and his Three Laws,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adk9416,scirobotics,2023,Assistive robots would regret a robot uprising,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adj8287,scirobotics,2023,Designing a robot to recover a sunken submarine is hard,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adl5431,scirobotics,2023,Is “suicide by droid” satire or a real possibility?,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adi7795,scirobotics,2023,Mars robots meet bounded rationality,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adi2192,scirobotics,2023,Sci-fi imagines how good brain-machine interfaces will amplify bad choices,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adk3242,scirobotics,2023,Surgical robots in movies may not be science fiction,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adg7115,scirobotics,2023,The novel <i>Player Piano</i> started the familiar discordant tune on the rise of automation,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adh8323,scirobotics,2023,We cannot escape gendering robots,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
doi:10.1126/scirobotics.adn0643,scirobotics,2023,Would life be better as a robot?,1,article,"single-author science-fiction column, not a research contribution",manual,2026-07-25
